Date,Open,High,Low,Close
1990-01-02,1.09,1.09,1.09,1.09
1990-01-03,1.09,1.09,1.09,1.09
1990-01-04,1.1175,1.1175,1.1175,1.1175
1990-01-05,1.13,1.13,1.13,1.13
1990-01-08,1.14,1.14,1.14,1.14
1990-01-09,1.1375,1.1375,1.1375,1.1375
1990-01-10,1.1175,1.1175,1.1175,1.1175
1990-01-11,1.1275,1.1275,1.1275,1.1275
1990-01-12,1.1,1.1,1.1,1.1
1990-01-15,1.085,1.085,1.085,1.085
1990-01-16,1.075,1.075,1.075,1.075
1990-01-17,1.075,1.075,1.075,1.075
1990-01-18,1.0625,1.0625,1.0625,1.0625
1990-01-19,1.0412,1.0412,1.0412,1.0412
1990-01-22,1.0392,1.0392,1.0392,1.0392
1990-01-23,1.025,1.025,1.025,1.025
1990-01-24,1.0212,1.0212,1.0212,1.0212
1990-01-25,1.0325,1.0325,1.0325,1.0325
1990-01-26,1.0325,1.0325,1.0325,1.0325
1990-01-29,1.0075,1.0075,1.0075,1.0075
1990-01-30,0.9912,0.9912,0.9912,0.9912
1990-01-31,1.0263,1.0263,1.0263,1.0263
1990-02-01,1.02,1.02,1.02,1.02
1990-02-02,1.035,1.035,1.035,1.035
1990-02-05,1.025,1.025,1.025,1.025
1990-02-06,1.03,1.03,1.03,1.03
1990-02-07,1.035,1.035,1.035,1.035
1990-02-08,1.035,1.035,1.035,1.035
1990-02-09,1.035,1.035,1.035,1.035
1990-02-12,1.04,1.04,1.04,1.04
1990-02-13,1.04,1.04,1.04,1.04
1990-02-14,1.0975,1.0975,1.0975,1.0975
1990-02-15,1.0975,1.0975,1.0975,1.0975
1990-02-16,1.12,1.12,1.12,1.12
1990-02-20,1.12,1.12,1.12,1.12
1990-02-21,1.1812,1.1812,1.1812,1.1812
1990-02-22,1.19,1.19,1.19,1.19
1990-02-23,1.185,1.185,1.185,1.185
1990-02-26,1.1775,1.1775,1.1775,1.1775
1990-02-27,1.15,1.15,1.15,1.15
1990-02-28,1.165,1.165,1.165,1.165
1990-03-01,1.1812,1.1812,1.1812,1.1812
1990-03-02,1.1825,1.1825,1.1825,1.1825
1990-03-05,1.2,1.2,1.2,1.2
1990-03-06,1.2325,1.2325,1.2325,1.2325
1990-03-07,1.2275,1.2275,1.2275,1.2275
1990-03-08,1.24,1.24,1.24,1.24
1990-03-09,1.24,1.24,1.24,1.24
1990-03-12,1.24,1.24,1.24,1.24
1990-03-13,1.22,1.22,1.22,1.22
1990-03-14,1.24,1.24,1.24,1.24
1990-03-15,1.295,1.295,1.295,1.295
1990-03-16,1.32,1.32,1.32,1.32
1990-03-19,1.32,1.32,1.32,1.32
1990-03-20,1.31,1.31,1.31,1.31
1990-03-21,1.32,1.32,1.32,1.32
1990-03-22,1.32,1.32,1.32,1.32
1990-03-23,1.3125,1.3125,1.3125,1.3125
1990-03-26,1.2925,1.2925,1.2925,1.2925
1990-03-27,1.245,1.245,1.245,1.245
1990-03-28,1.255,1.255,1.255,1.255
1990-03-29,1.265,1.265,1.265,1.265
1990-03-30,1.28,1.28,1.28,1.28
1990-04-02,1.28,1.28,1.28,1.28
1990-04-03,1.305,1.305,1.305,1.305
1990-04-04,1.265,1.265,1.265,1.265
1990-04-05,1.25,1.25,1.25,1.25
1990-04-06,1.27,1.27,1.27,1.27
1990-04-09,1.2275,1.2275,1.2275,1.2275
1990-04-10,1.24,1.24,1.24,1.24
1990-04-11,1.24,1.24,1.24,1.24
1990-04-12,1.225,1.225,1.225,1.225
1990-04-16,1.225,1.225,1.225,1.225
1990-04-17,1.22,1.22,1.22,1.22
1990-04-18,1.2175,1.2175,1.2175,1.2175
1990-04-19,1.23,1.23,1.23,1.23
1990-04-20,1.215,1.215,1.215,1.215
1990-04-23,1.22,1.22,1.22,1.22
1990-04-24,1.225,1.225,1.225,1.225
1990-04-25,1.225,1.225,1.225,1.225
1990-04-26,1.3,1.3,1.3,1.3
1990-04-27,1.225,1.225,1.225,1.225
1990-04-30,1.2,1.2,1.2,1.2
1990-05-01,1.21,1.21,1.21,1.21
1990-05-02,1.245,1.245,1.245,1.245
1990-05-03,1.2325,1.2325,1.2325,1.2325
1990-05-04,1.22,1.22,1.22,1.22
1990-05-07,1.2025,1.2025,1.2025,1.2025
1990-05-08,1.21,1.21,1.21,1.21
1990-05-09,1.24,1.24,1.24,1.24
1990-05-10,1.28,1.28,1.28,1.28
1990-05-11,1.28,1.28,1.28,1.28
1990-05-14,1.27,1.27,1.27,1.27
1990-05-15,1.2425,1.2425,1.2425,1.2425
1990-05-16,1.2475,1.2475,1.2475,1.2475
1990-05-17,1.2425,1.2425,1.2425,1.2425
1990-05-18,1.245,1.245,1.245,1.245
1990-05-21,1.23,1.23,1.23,1.23
1990-05-22,1.24,1.24,1.24,1.24
1990-05-23,1.22,1.22,1.22,1.22
1990-05-24,1.23,1.23,1.23,1.23
1990-05-25,1.23,1.23,1.23,1.23
1990-05-29,1.18,1.18,1.18,1.18
1990-05-30,1.18,1.18,1.18,1.18
1990-05-31,1.15,1.15,1.15,1.15
1990-06-01,1.17,1.17,1.17,1.17
1990-06-04,1.17,1.17,1.17,1.17
1990-06-05,1.18,1.18,1.18,1.18
1990-06-06,1.19,1.19,1.19,1.19
1990-06-07,1.1775,1.1775,1.1775,1.1775
1990-06-08,1.165,1.165,1.165,1.165
1990-06-11,1.14,1.14,1.14,1.14
1990-06-12,1.15,1.15,1.15,1.15
1990-06-13,1.1425,1.1425,1.1425,1.1425
1990-06-14,1.1575,1.1575,1.1575,1.1575
1990-06-15,1.15,1.15,1.15,1.15
1990-06-18,1.1812,1.1812,1.1812,1.1812
1990-06-19,1.175,1.175,1.175,1.175
1990-06-20,1.135,1.135,1.135,1.135
1990-06-21,1.14,1.14,1.14,1.14
1990-06-22,1.1425,1.1425,1.1425,1.1425
1990-06-25,1.1225,1.1225,1.1225,1.1225
1990-06-26,1.1125,1.1125,1.1125,1.1125
1990-06-27,1.1337,1.1337,1.1337,1.1337
1990-06-28,1.14,1.14,1.14,1.14
1990-06-29,1.185,1.185,1.185,1.185
1990-07-02,1.1812,1.1812,1.1812,1.1812
1990-07-03,1.175,1.175,1.175,1.175
1990-07-05,1.19,1.19,1.19,1.19
1990-07-06,1.2012,1.2012,1.2012,1.2012
1990-07-09,1.2012,1.2012,1.2012,1.2012
1990-07-10,1.215,1.215,1.215,1.215
1990-07-11,1.2725,1.2725,1.2725,1.2725
1990-07-12,1.28,1.28,1.28,1.28
1990-07-13,1.28,1.28,1.28,1.28
1990-07-16,1.28,1.28,1.28,1.28
1990-07-17,1.2575,1.2575,1.2575,1.2575
1990-07-18,1.2425,1.2425,1.2425,1.2425
1990-07-19,1.225,1.225,1.225,1.225
1990-07-20,1.2412,1.2412,1.2412,1.2412
1990-07-23,1.2325,1.2325,1.2325,1.2325
1990-07-24,1.25,1.25,1.25,1.25
1990-07-25,1.265,1.265,1.265,1.265
1990-07-26,1.28,1.28,1.28,1.28
1990-07-27,1.28,1.28,1.28,1.28
1990-07-30,1.27,1.27,1.27,1.27
1990-07-31,1.28,1.28,1.28,1.28
1990-08-01,1.32,1.32,1.32,1.32
1990-08-02,1.32,1.32,1.32,1.32
1990-08-03,1.29,1.29,1.29,1.29
1990-08-06,1.295,1.295,1.295,1.295
1990-08-07,1.3,1.3,1.3,1.3
1990-08-08,1.31,1.31,1.31,1.31
1990-08-09,1.34,1.34,1.34,1.34
1990-08-10,1.34,1.34,1.34,1.34
1990-08-13,1.34,1.34,1.34,1.34
1990-08-14,1.365,1.365,1.365,1.365
1990-08-15,1.375,1.375,1.375,1.375
1990-08-16,1.3675,1.3675,1.3675,1.3675
1990-08-17,1.37,1.37,1.37,1.37
1990-08-20,1.3525,1.3525,1.3525,1.3525
